System Time:,Simulation Time:,AnimalType:,overall,alive,puppy,juvenile,young_adult,adult,aged_adult,elder,overall_puppy,overall_juvenile,overall_young_adult,overall_adult,overall_aged_adult,overall_elder,female,male,overall_female,overall_male,thirstDeath,hungerDeath,ageDeath,predatorDeath
16:11:23,5.94316,Lion,15,15,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,7,0,0,0,0
16:11:30,18.97206,Lion,15,15,15,0,0,0,0,0,15,0,0,0,0,0,8,7,8,7,0,0,0,0
16:12:28,135.9685,Lion,15,15,0,15,0,0,0,0,15,15,0,0,0,0,8,7,8,7,0,0,0,0
16:13:46,291.9648,Lion,15,15,0,0,15,0,0,0,15,15,15,0,0,0,8,7,8,7,0,0,0,0
16:14:58,434.9499,Lion,15,15,0,0,0,15,0,0,15,15,15,15,0,0,8,7,8,7,0,0,0,0
16:16:48,655.9844,Lion,15,15,0,0,0,0,15,0,15,15,15,15,15,0,8,7,8,7,0,0,0,0
16:17:14,707.7339,Lion,18,18,0,0,0,0,15,0,15,15,15,15,15,0,10,8,10,8,0,0,0,0
16:17:21,720.7184,Lion,18,18,3,0,0,0,15,0,18,15,15,15,15,0,10,8,10,8,0,0,0,0
16:17:24,726.1768,Lion,21,21,3,0,0,0,15,0,18,15,15,15,15,0,12,9,12,9,0,0,0,0
16:17:30,739.0961,Lion,21,21,6,0,0,0,15,0,21,15,15,15,15,0,12,9,12,9,0,0,0,0
16:18:07,811.718,Lion,24,24,6,0,0,0,15,0,21,15,15,15,15,0,13,11,13,11,0,0,0,0
16:18:14,824.7039,Lion,24,24,9,0,0,0,15,0,24,15,15,15,15,0,13,11,13,11,0,0,0,0
16:18:21,837.6753,Lion,24,24,6,3,0,0,15,0,24,18,15,15,15,0,13,11,13,11,0,0,0,0
16:18:31,856.0635,Lion,24,24,3,6,0,0,15,0,24,21,15,15,15,0,13,11,13,11,0,0,0,0
16:18:33,859.0635,Lion,27,27,3,6,0,0,15,0,24,21,15,15,15,0,15,12,15,12,0,0,0,0
16:18:41,872.0635,Lion,27,27,6,6,0,0,15,0,27,21,15,15,15,0,15,12,15,12,0,0,0,0
16:18:44,877.6635,Lion,30,30,6,6,0,0,15,0,27,21,15,15,15,0,18,12,18,12,0,0,0,0
16:18:53,890.6635,Lion,30,30,9,6,0,0,15,0,30,21,15,15,15,0,18,12,18,12,0,0,0,0
16:19:03,905.6635,Lion,33,33,9,6,0,0,15,0,30,21,15,15,15,0,19,14,19,14,0,0,0,0
16:19:12,918.6635,Lion,33,33,12,6,0,0,15,0,33,21,15,15,15,0,19,14,19,14,0,0,0,0
16:19:29,941.6635,Lion,33,33,9,9,0,0,15,0,33,24,15,15,15,0,19,14,19,14,0,0,0,0
16:19:40,955.6635,Lion,36,36,9,9,0,0,15,0,33,24,15,15,15,0,21,15,21,15,0,0,0,0
16:19:52,968.6635,Lion,36,36,12,9,0,0,15,0,36,24,15,15,15,0,21,15,21,15,0,0,0,0
16:20:03,981.0635,Lion,36,36,12,9,0,0,0,15,36,24,15,15,15,15,21,15,21,15,0,0,0,0
16:20:10,989.0635,Lion,36,36,9,12,0,0,0,15,36,27,15,15,15,15,21,15,21,15,0,0,0,0
16:20:14,993.6635,Lion,36,36,9,9,3,0,0,15,36,27,18,15,15,15,21,15,21,15,0,0,0,0
16:20:17,996.2635,Lion,39,39,9,9,3,0,0,15,36,27,18,15,15,15,23,16,23,16,0,0,0,0
16:20:28,1007.664,Lion,39,39,6,12,3,0,0,15,36,30,18,15,15,15,23,16,23,16,0,0,0,0
16:20:29,1009.264,Lion,39,39,9,12,3,0,0,15,39,30,18,15,15,15,23,16,23,16,0,0,0,0
16:20:31,1011.064,Lion,39,38,9,12,3,0,0,14,39,30,18,15,15,15,22,16,23,16,0,0,1,0
16:20:32,1012.064,Lion,39,38,9,9,6,0,0,14,39,30,21,15,15,15,22,16,23,16,0,0,1,0
16:20:41,1021.064,Lion,39,36,9,9,6,0,0,12,39,30,21,15,15,15,22,14,23,16,0,0,3,0
16:20:55,1035.664,Lion,39,36,6,12,6,0,0,12,39,33,21,15,15,15,22,14,23,16,0,0,3,0
16:21:12,1051.464,Lion,39,35,6,12,6,0,0,11,39,33,21,15,15,15,21,14,23,16,0,0,4,0
16:21:23,1061.664,Lion,39,33,6,12,6,0,0,9,39,33,21,15,15,15,21,12,23,16,0,0,6,0
16:21:34,1071.864,Lion,39,32,6,12,6,0,0,8,39,33,21,15,15,15,20,12,23,16,0,0,7,0
16:21:50,1085.664,Lion,39,32,3,15,6,0,0,8,39,36,21,15,15,15,20,12,23,16,0,0,7,0
16:21:57,1092.264,Lion,39,29,3,15,6,0,0,5,39,36,21,15,15,15,17,12,23,16,0,0,10,0
16:22:04,1097.664,Lion,39,29,3,12,9,0,0,5,39,36,24,15,15,15,17,12,23,16,0,0,10,0
16:22:10,1102.464,Lion,39,28,3,12,9,0,0,4,39,36,24,15,15,15,16,12,23,16,0,0,11,0
16:22:23,1112.664,Lion,39,26,3,12,9,0,0,2,39,36,24,15,15,15,16,10,23,16,0,0,13,0
16:22:41,1126.264,Lion,39,26,0,15,9,0,0,2,39,39,24,15,15,15,16,10,23,16,0,0,13,0
16:22:49,1133.063,Lion,39,24,0,15,9,0,0,0,39,39,24,15,15,15,15,9,23,16,0,0,15,0
16:22:54,1136.664,Lion,39,24,0,15,6,3,0,0,39,39,24,18,15,15,15,9,23,16,0,0,15,0
16:23:05,1145.063,Lion,39,24,0,12,9,3,0,0,39,39,27,18,15,15,15,9,23,16,0,0,15,0
16:23:19,1155.063,Lion,39,24,0,12,6,6,0,0,39,39,27,21,15,15,15,9,23,16,0,0,15,0
16:23:32,1163.664,Lion,39,24,0,9,9,6,0,0,39,39,30,21,15,15,15,9,23,16,0,0,15,0
16:24:11,1191.664,Lion,39,24,0,6,12,6,0,0,39,39,33,21,15,15,15,9,23,16,0,0,15,0
16:25:23,1240.664,Lion,39,24,0,6,9,9,0,0,39,39,33,24,15,15,15,9,23,16,0,0,15,0
16:25:24,1241.664,Lion,39,24,0,3,12,9,0,0,39,39,36,24,15,15,15,9,23,16,0,0,15,0
16:26:33,1282.264,Lion,39,24,0,0,15,9,0,0,39,39,39,24,15,15,15,9,23,16,0,0,15,0
16:26:43,1287.864,Lion,39,24,0,0,12,12,0,0,39,39,39,27,15,15,15,9,23,16,0,0,15,0
16:27:18,1306.464,Lion,39,24,0,0,9,15,0,0,39,39,39,30,15,15,15,9,23,16,0,0,15,0
16:28:17,1334.464,Lion,39,24,0,0,6,18,0,0,39,39,39,33,15,15,15,9,23,16,0,0,15,0
16:29:12,1357.664,Lion,39,24,0,0,6,15,3,0,39,39,39,33,18,15,15,9,23,16,0,0,15,0
16:30:01,1376.064,Lion,39,24,0,0,6,12,6,0,39,39,39,33,21,15,15,9,23,16,0,0,15,0
16:30:24,1384.464,Lion,39,24,0,0,3,15,6,0,39,39,39,36,21,15,15,9,23,16,0,0,15,0
16:32:14,1421.664,Lion,42,27,0,0,3,15,6,0,39,39,39,36,21,15,17,10,25,17,0,0,15,0
16:32:24,1425.064,Lion,42,27,0,0,0,18,6,0,39,39,39,39,21,15,17,10,25,17,0,0,15,0
16:32:57,1434.664,Lion,42,27,3,0,0,18,6,0,42,39,39,39,21,15,17,10,25,17,0,0,15,0
16:34:30,1461.664,Lion,42,27,3,0,0,15,9,0,42,39,39,39,24,15,17,10,25,17,0,0,15,0
16:35:56,1484.664,Lion,45,30,3,0,0,15,9,0,42,39,39,39,24,15,19,11,27,18,0,0,15,0
16:36:49,1497.664,Lion,45,30,6,0,0,15,9,0,45,39,39,39,24,15,19,11,27,18,0,0,15,0
16:37:36,1508.864,Lion,45,30,6,0,0,12,12,0,45,39,39,39,27,15,19,11,27,18,0,0,15,0
16:38:59,1527.464,Lion,45,30,6,0,0,9,15,0,45,39,39,39,30,15,19,11,27,18,0,0,15,0
16:40:52,1551.664,Lion,45,30,3,3,0,9,15,0,45,42,39,39,30,15,19,11,27,18,0,0,15,0
16:41:11,1555.464,Lion,45,30,3,3,0,6,18,0,45,42,39,39,33,15,19,11,27,18,0,0,15,0
16:44:26,1593.664,Lion,48,33,3,3,0,6,18,0,45,42,39,39,33,15,19,14,27,21,0,0,15,0
16:45:15,1603.064,Lion,51,36,3,3,0,6,18,0,45,42,39,39,33,15,19,17,27,24,0,0,15,0
